2012/2/860;치의학대학원;
2013-01-19 23:04:19
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
전필;치의학대학원;석사;861.503;;인체의 구조와 기능 1;3;;;장미숙;100;88;;
전필;치의학대학원;석사;861.504;;인체의 구조와 기능 2;4;;;박주철;100;88;;
전필;치의학대학원;석사;861.567;;악구강영역의 기능해부학 2;1;;;곽재영;100;88;;
전필;치의학대학원;석사;861.568;;치아보존수복 1;1;;;손호현;100;88;;
전필;치의학대학원;석사;861.569A;;치아보존수복 2;1;;;서덕규;100;88;;
전필;치의학대학원;석사;861.571;;치과생체재료 2;1;;;임범순;100;88;;
전필;치의학대학원;석사;861.574;;임상치의학입문 2;1;;;이삼선;100;88;;
전필;치의학대학원;석사;861.576;;미생물과 감염면역;2;;;김각균;100;88;;
전필;치의학대학원;석사;861.577;;악골과 경조직;1;;;민병무;100;88;;
전필;치의학대학원;석사;861.578;;치주조직과 치주질환;2;;;류인철;100;88;;
전필;치의학대학원;석사;861.579;;금관가공의치학 1;1;;;이재봉;100;88;;
전필;치의학대학원;석사;861.580;;국소의치학 1;1;;;김성균;100;88;;
전필;치의학대학원;석사;861.581;;총의치학 1;1;;;임영준;100;88;;
전필;치의학대학원;석사;861.615;;국소의치학 3;2;;;곽재영;100;87;;
전필;치의학대학원;석사;861.616;;근관치료학;3;;;배광식;100;87;;
전필;치의학대학원;석사;861.617;;도재수복학;3;;;한중석;100;87;;
전필;치의학대학원;석사;861.618;;두개악안면 성형외과학;1;;;정필훈;100;87;;
전필;치의학대학원;석사;861.619;;부정교합의 진단 및 치료;2;;;이신재;100;87;;
전필;치의학대학원;석사;861.620;;소아의 교합유도;1;;;장기택;100;87;;
전필;치의학대학원;석사;861.621;;악안면동통의 진단과 치료;1;;;정진우;100;87;;
전필;치의학대학원;석사;861.622;;임상치의학입문 4;1;;;이재일;100;87;;
전필;치의학대학원;석사;861.623;;전신질환의 진단 및 치료 1;3;;;류현모;100;87;;
전필;치의학대학원;석사;861.624;;지역사회구강보건;1;;;김현덕;100;87;;
전필;치의학대학원;석사;861.625;;총의치학 3;2;;;김명주;100;87;;
전필;치의학대학원;석사;861.626;;치과마취의 이해 2;1;;;김현정;100;87;;
전필;치의학대학원;석사;861.627;;치아보존수복 4;1;;;조병훈;100;87;;
전필;치의학대학원;석사;861.709;;노인치과학;1;;;배광식;100;91;;
전필;치의학대학원;석사;861.710;;심미치과학;1;;;조병훈;100;91;;
전필;치의학대학원;석사;861.711;;의료전달체계와 건강보험;1;;;김현덕;100;91;;
전필;치의학대학원;석사;861.712;;임상구강악안면방사선학;1;;;허민석;100;91;;
전필;치의학대학원;석사;861.713;;임상구강악안면병리학;1;;;홍성두;100;91;;
전필;치의학대학원;석사;861.714;;임상구강악안면외과학 1;1;;;서병무;100;91;;
전필;치의학대학원;석사;861.716;;임상두경부 해부학;2;;;박영석;100;91;;
전필;치의학대학원;석사;861.717;;임상치과보존학;1;;;이인복;100;91;;
전필;치의학대학원;석사;861.718;;임상치과약물치료학;1;;;백정화;100;91;;
전필;치의학대학원;석사;861.719;;치과임플란트학;1;;;명훈;100;91;;
전필;치의학대학원;석사;861.728;;구강내과학임상실습 2;1;;;고홍섭;100;91;;
전필;치의학대학원;석사;861.729;;구강악안면방사선학임상실습 2;1;;;허민석;100;91;;
전필;치의학대학원;석사;861.730;;구강악안면외과학임상실습 2;1;;;최진영;100;91;;
전필;치의학대학원;석사;861.731;;소아치과학임상실습 2;1;;;김정욱;100;91;;
전필;치의학대학원;석사;861.732;;치과교정학임상실습 2;1;;;이신재;100;91;;
전필;치의학대학원;석사;861.733;;치과보존학임상실습 2;1;;;이인복;100;91;;
전필;치의학대학원;석사;861.734;;치과보철학임상실습 2;1;;;곽재영;100;91;;
전필;치의학대학원;석사;861.735;;치주과학임상실습 2;1;;;구영;100;91;;
;치의학대학원;석사;861.736;004;논문연구;2;;;백대일;10;2;;
;치의학대학원;석사;861.736;005;논문연구;2;;;홍삼표;10;2;;
;치의학대학원;석사;861.736;006;논문연구;2;;;김명진;10;2;;
;치의학대학원;석사;861.736;007;논문연구;2;;;김종철;10;2;;
;치의학대학원;석사;861.736;008;논문연구;2;;;민병무;10;2;;
;치의학대학원;석사;861.736;009;논문연구;2;;;김각균;10;2;;
;치의학대학원;석사;861.736;010;논문연구;2;;;최순철;10;1;;
;치의학대학원;석사;861.736;011;논문연구;2;;;정필훈;10;2;;
;치의학대학원;석사;861.736;012;논문연구;2;;;이상훈;10;3;;
;치의학대학원;석사;861.736;013;논문연구;2;;;배광식;10;2;;
;치의학대학원;석사;861.736;014;논문연구;2;;;임범순;10;2;;
;치의학대학원;석사;861.736;016;논문연구;2;;;김태우;10;2;;
;치의학대학원;석사;861.736;017;논문연구;2;;;김현만;10;2;;
;치의학대학원;석사;861.736;018;논문연구;2;;;이재일;10;4;;
;치의학대학원;석사;861.736;019;논문연구;2;;;김명기;10;2;;
;치의학대학원;석사;861.736;020;논문연구;2;;;박경표;10;2;;
;치의학대학원;석사;861.736;021;논문연구;2;;;류인철;10;2;;
;치의학대학원;석사;861.736;023;논문연구;2;;;이종호;10;2;;
;치의학대학원;석사;861.736;024;논문연구;2;;;구영;10;2;;
;치의학대학원;석사;861.736;025;논문연구;2;;;장기택;10;2;;
;치의학대학원;석사;861.736;026;논문연구;2;;;조병훈;10;2;;
